"Buchholz's OCF","Madore's OCF"
"ψ_1(Ω_2+2)","\psi_{1}(0)\omega^{2}"
"ψ_1(Ω_2+ω)","\psi_{1}(0)\omega^{\omega}"
"ψ_1(Ω_2+ψ(Ω))","\psi_{1}(0)\psi(0)"
"ψ_1(Ω_2+Ω)","\psi_{1}(0)\Omega"
"ψ_1(Ω_2+Ω^2)","\psi_{1}(0)\Omega^{2}"
"ψ_1(Ω_2+Ω^ω)","\psi_{1}(0)\Omega^{\omega}"
"ψ_1(Ω_2+ψ_1(Ω_2))","\psi_{1}(0)^{2}"
"ψ_1(Ω_2+ψ_1(Ω_2)\cdot2)","\psi_{1}(0)^{3}"
"ψ_1(Ω_2+ψ_1(Ω_2+1))","\psi_{1}(0)^{\omega}"
"ψ_1(Ω_2\cdot2)","\psi_{1}(1)"
"ψ_1(Ω_2\cdot3)","\psi_{1}(2)"
"ψ_1(Ω_2\cdotω)","\psi_{1}(\omega)"
"ψ_1(Ω_2^2)","\psi_{1}(\Omega_{2})"
"ψ_1(Ω_2^ω)","\psi_{1}(\Omega_{2}^{\omega})"
"ψ_1(Ω_ω)","\psi_{1}(\Omega_{\omega})"
"ψ_1(Ω_ω+1)","\psi_{1}(\Omega_{\omega})\omega"
"ψ_1(Ω_ω+ω)","\psi_{1}(\Omega_{\omega})\omega^{\omega}"
"ψ_1(Ω_ω+Ω)","\psi_{1}(\Omega_{\omega} + 1)"
"ψ_1(Ω_ω+Ω_2)","\psi_{1}(\Omega_{\omega} + 1)"
"ψ_1(Ω_3+Ω)","\psi_{1}(\psi_{2}(0))\Omega"
"ψ_1(Ω_(ω+1))","\psi_{1}(\psi_{\omega}(0))"
"ψ_1(Ω_(ω+1)+Ω)","\psi_{1}(\psi_{\omega}(0))\Omega"
"ψ_1(Ω_(ω+1)^2)","\psi_{1}(\Omega_{\omega + 1})"
"ψ_1(Ω_(ω+1)^3)","\psi_{1}(\Omega_{\omega + 1}^{2})"
"ψ_1(Ω_(ω+1)^ω)","\psi_{1}(\Omega_{\omega + 1}^{\omega})"
"ψ_1(Ω_ω^2)","\psi_{1}(\Omega_{\omega}^{2})"
"ψ_1(Ω_ω^2+1)","\psi_{1}(\Omega_{\omega}^{2})\omega"
"ψ_1(Ω_ω^2+ψ_1(Ω_ω^2))","\psi_{1}(\Omega_{\omega}^{2})^{2}"
"ψ_1(Ω_2)","\psi_{1}(0)"
"ψ_1(Ω_2+ψ_1(Ω_2))","\psi_{1}(0)^{2}"
"ψ(Ω_2^2+ψ_1(Ω_2))","\psi(\Omega_{2} + \psi_{1}(0))"
"ψ(Ω_2^3+ψ_1(Ω_2))","\psi(\Omega_{2}^{2} + \psi_{1}(0))"
"ψ_1(Ω_2^ω)","\psi_{1}(\Omega_{2}^{\omega})"
"ψ_1(Ω_2^ω+1)","\psi_{1}(\Omega_{2}^{\omega})\omega"
"ψ_1(Ω_2^ω+2)","\psi_{1}(\Omega_{2}^{\omega})\omega^{2}"
"ψ_1(Ω_2^2+2)","\psi_{1}(\Omega_{2})\omega^{2}"
"ψ_1(Ω_2^2+3)","\psi_{1}(\Omega_{2})\omega^{3}"
"ψ_1(Ω_2+2)","\psi_{1}(0)\omega^{2}"
"ψ(Ω_2^2+Ω_2×ψ_1(Ω_2))","\psi(\Omega_{2} + \psi_{1}(\Omega_{2} + \psi_{1}(0)))"
"ψ(Ω_ω+ψ_1(Ω_2^ω+ω))","\psi(\Omega_{\omega} + \psi_{1}(\Omega_{2}^{\omega})\omega^{\omega})"
"ψ_1(Ω_2^ω+ω)","\psi_{1}(\Omega_{2}^{\omega})\omega^{\omega}"
"ψ_1(Ω_2^ω+ω^2)","\psi_{1}(\Omega_{2}^{\omega})\omega^{\omega^{2}}"
"ψ_1(Ω_2^ω+Ω)","\psi_{1}(\Omega_{2}^{\omega})\Omega"
"ψ_1(Ω_2^ω+Ω_2)","\psi(\Omega_{2}^{\omega} + 1)"
"ψ_1(Ω_2^ω+Ω_2×2)","\psi(\Omega_{2}^{\omega} + 2)"
"ψ_1(Ω_2^ω+Ω_2^2)","\psi(\Omega_{2}^{\omega} + \Omega_{2})"
