"Buchholz's OCF","Madore's OCF"
"\psi(\Omega^3 \cdot 2 + 1)","\psi(\Omega^2 \cdot 2) \cdot \omega"
"\psi(\Omega^3 \cdot 2 + \Omega)","\psi(\Omega^2 \cdot 2 + 1)"
"\psi(\Omega^3 \cdot 2 + \Omega^2)","\psi(\Omega^2 \cdot 2 + \Omega)"
"\psi(\Omega^3 \cdot 2 + \Omega^2 \cdot \psi(\Omega^3 \cdot 2 + \Omega^2))","\psi(\Omega^2 \cdot 2 + \Omega \cdot \psi(\Omega^2 \cdot 2 + \Omega))"
"\psi(\Omega^3 \cdot 3)","\psi(\Omega^2 \cdot 3)"
"\psi(\Omega^3 \cdot 4)","\psi(\Omega^2 \cdot 4)"
"\psi(\Omega^3 \cdot \psi(1))","\psi(\Omega^2 \cdot \omega)"
"\psi(\Omega^3 \cdot \psi(\Omega))","\psi(\Omega^2 \cdot \psi(0))"
"\psi(\Omega^3 \cdot \psi(\Omega^2))","\psi(\Omega^2 \cdot \psi(\Omega))"
"\psi(\Omega^3 \cdot \psi(\Omega^3))","\psi(\Omega^2 \cdot \psi(\Omega^2))"
"\psi(\Omega^3 \cdot \psi(\Omega^3 \cdot \psi(\Omega^3)))","\psi(\Omega^2 \cdot \psi(\Omega^2 \cdot \psi(\Omega^2)))"
"\psi(\Omega^4)","\psi(\Omega^3)"
"\psi(\Omega^4 + 1)","\psi(\Omega^3) \cdot \omega"
"\psi(\Omega^4 + \Omega)","\psi(\Omega^3 + 1)"
"\psi(\Omega^4 + \Omega^3)","\psi(\Omega^3 + \Omega^2)"
"\psi(\Omega^4 \cdot 2)","\psi(\Omega^3 \cdot 2)"
"\psi(\Omega^4 \cdot 3)","\psi(\Omega^3 \cdot 3)"
"\psi(\Omega^4 \cdot \psi(1))","\psi(\Omega^3 \cdot \omega)"
"\psi(\Omega^4 \cdot \psi(\Omega^4))","\psi(\Omega^3 \cdot \psi(\Omega^3))"
"\psi(\Omega^5)","\psi(\Omega^4)"
"\psi(\Omega^5 + \Omega^4)","\psi(\Omega^4 + \Omega^3)"
"\psi(\Omega^5 \cdot 2)","\psi(\Omega^4 \cdot 2)"
"\psi(\Omega^5 \cdot \psi(\Omega^5))","\psi(\Omega^4 \cdot \psi(\Omega^4))"
"\psi(\Omega^6)","\psi(\Omega^5)"
"\psi(\Omega^7)","\psi(\Omega^6)"
"\psi(\Omega^\omega)","\psi(\Omega^\omega)"
"\psi(\Omega^\omega + 1)","\psi(\Omega^\omega) \cdot \omega"
"\psi(\Omega^\omega + \Omega)","\psi(\Omega^\omega + 1)"
"\psi(\Omega^\omega + \Omega^2)","\psi(\Omega^\omega + \Omega)"
"\psi(\Omega^\omega + \Omega^3)","\psi(\Omega^\omega + \Omega^2)"
"\psi(\Omega^\omega + \Omega^4)","\psi(\Omega^\omega + \Omega^3)"
"\psi(\Omega^\omega + \Omega^5)","\psi(\Omega^\omega + \Omega^4)"
"\psi(\Omega^\omega + \Omega^6)","\psi(\Omega^\omega + \Omega^5)"
"\psi(\Omega^\omega \cdot 2)","\psi(\Omega^\omega \cdot 2)"
"\psi(\Omega^\omega \cdot 3)","\psi(\Omega^\omega \cdot 3)"
"\psi(\Omega^\omega \cdot \psi(1))","\psi(\Omega^\omega \cdot \omega)"
"\psi(\Omega^\omega \cdot \psi(\Omega^\omega))","\psi(\Omega^\omega \cdot \psi(\Omega^\omega))"
"\psi(\Omega^{\omega+1})","\psi(\Omega^{\omega+1})"
"\psi(\Omega^{\omega+1} + \Omega^\omega)","\psi(\Omega^{\omega+1} + \Omega^\omega)"
"\psi(\Omega^{\omega+1} \cdot 2)","\psi(\Omega^{\omega+1} \cdot 2)"
"\psi(\Omega^{\omega+2})","\psi(\Omega^{\omega+2})"
"\psi(\Omega^{\omega+3})","\psi(\Omega^{\omega+3})"
"\psi(\Omega^{\omega \cdot 2})","\psi(\Omega^{\omega \cdot 2})"
"\psi(\Omega^{\omega \cdot 3})","\psi(\Omega^{\omega \cdot 3})"
"\psi(\Omega^{\psi(2)})","\psi(\Omega^{\omega^2})"
"\psi(\Omega^{\psi(\psi(1))})","\psi(\Omega^{\omega^\omega})"
"\psi(\Omega^{\psi(\Omega)})","\psi(\Omega^{\psi(0)})"
"\psi(\Omega^{\psi(\Omega \cdot 2)})","\psi(\Omega^{\psi(1)})"
"\psi(\Omega^{\psi(\Omega^2)})","\psi(\Omega^{\psi(\Omega)})"
"\psi(\Omega^{\psi(\Omega^3)})","\psi(\Omega^{\psi(\Omega^2)})"
"\psi(\Omega^{\psi(\Omega^\omega)})","\psi(\Omega^{\psi(\Omega^\omega)})"
"\psi(\Omega^{\psi(\Omega^{\psi(\Omega)})})","\psi(\Omega^{\psi(\Omega^{\psi(0)})})"
"\psi(\Omega^\Omega)","\psi(\Omega^\Omega)"
"\psi(\Omega^\Omega \cdot 2)","\psi(\Omega^\Omega \cdot 2)"
"\psi(\Omega^\Omega + 1)","\psi(\Omega^\Omega) \cdot \omega"
"\psi(\Omega^\Omega + \psi(\Omega^\Omega))","\psi(\Omega^\Omega)^2"
"\psi(\Omega^\Omega + \Omega)","\psi(\Omega^\Omega + 1)"
"\psi(\Omega^\Omega + \Omega * {\psi(\Omega^\Omega)})","\psi(\Omega^\Omega + \psi(\Omega^\Omega))"
"\psi(\Omega^\Omega + \Omega^2)","\psi(\Omega^\Omega + \Omega)"
"\psi(\Omega^\Omega + \Omega^3)","\psi(\Omega^\Omega + \Omega^2)"
"\psi(\Omega^\Omega + \Omega^4)","\psi(\Omega^\Omega + \Omega^3)"
"\psi(\Omega^\Omega + \Omega^5)","\psi(\Omega^\Omega + \Omega^4)"
"\psi(\Omega^\Omega + \Omega^\omega)","\psi(\Omega^\Omega + \Omega^\omega)"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\omega)})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\omega)})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)} \cdot 2)","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)} \cdot 2)"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)} \cdot \psi(\Omega^\Omega))","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)} \cdot \psi(\Omega^\Omega))"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)+1})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)+1})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)+\omega})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)+\omega})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega) \cdot 2})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega) \cdot 2})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + \Omega)})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + 1)})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)})})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega)})})"
"\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + \Omega)})})","\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + \Omega^{\psi(\Omega^\Omega + 1)})})"
"\psi(\Omega^\Omega \cdot 2)","\psi(\Omega^\Omega \cdot 2)"
"\psi(\Omega^\Omega \cdot 2 + \Omega^{\psi(\Omega^\Omega)})","\psi(\Omega^\Omega \cdot 2 + \Omega^{\psi(\Omega^\Omega)})"
